Timestamp, Engine Raw, Chassis Raw, Output
17782114392,1.60891,1.878,1.97381
17783193777,1.6218,1.91667,1.92869
17784289884,1.73621,1.621,1.52828
17785354695,1.80308,1.43086,1.29423
17786433895,1.73459,1.48726,1.53392
17787513021,1.62664,1.64517,1.91177
17788591646,1.60085,1.7499,2.00201
17789670346,1.71606,1.74426,1.59877
17790749305,1.8071,1.65242,1.28013
17791828172,1.73862,1.57266,1.51982
17792907020,1.62744,1.62341,1.90896
17793988590,1.59683,1.62422,2.01611
17795067271,1.68545,1.64275,1.70593
17796146508,1.78374,1.60972,1.36191
17797225393,1.76038,1.6355,1.44368
17798304889,1.66531,1.7354,1.77642
17799381682,1.61213,1.7781,1.96253
17800458882,1.68142,1.63147,1.72003
17801536656,1.77327,1.4937,1.39857
17802614022,1.74587,1.54285,1.49444
17803694685,1.65967,1.87156,1.79616
17804769533,1.61455,1.96824,1.95407
17805847233,1.68464,1.64758,1.70875
17806924359,1.78052,1.40105,1.37319
17808003873,1.75957,1.57024,1.4465
17809082073,1.65403,1.85464,1.8159
17810160736,1.59844,2.03188,2.01047
17811238954,1.66934,1.70559,1.76232
17812318413,1.78374,1.43005,1.36191
17813397372,1.7918,1.47839,1.33371
17814479220,1.67256,1.80388,1.75105
17815557902,1.58474,1.89492,2.05841
17816636102,1.63872,1.69753,1.86948
17817715357,1.75876,1.42039,1.44932
17818808816,1.7918,1.38091,1.33371
17819873849,1.70398,1.70398,1.64107
17820951734,1.621,1.93198,1.93151
17822030601,1.63469,1.77004,1.88358
17823109504,1.74346,1.48,1.5029
17824191871,1.78213,1.32854,1.36755
17825270108,1.68867,1.57266,1.69465
17826348678,1.60649,1.85222,1.98227
17827427211,1.63389,1.86592,1.8864
17828506374,1.73943,1.54607,1.517
17829585240,1.79583,1.31243,1.31961
17830663588,1.7217,1.51062,1.57904
17831742455,1.61213,1.78616,1.96253
17832821266,1.61213,1.82886,1.96253
17833926725,1.73782,1.68787,1.52264
17835004647,1.80388,1.63792,1.29141
17836080828,1.72976,1.64355,1.55084
17837159102,1.62744,1.65483,1.90896
17838235839,1.60811,1.54204,1.97663
17839314095,1.70479,1.51223,1.63825
17840391424,1.78455,1.51384,1.35909
17841468531,1.74265,1.70317,1.50572
17842545898,1.63711,1.93843,1.87512
17843623301,1.60569,1.82322,1.98509
