Timestamp, Input Raw, Input Filtered, Output, Error
6370293637,0.275495,0.0401831,-0.0223125,0.0237283
6371380281,0.3037,0.0587179,-0.0601251,0.0300727
6372444892,0.057912,0.0498535,-0.0264332,0.0309823
6373526407,-0.212051,0.0240659,0.0455234,0.02713
6374591258,-0.241062,0.00553113,0.082352,0.0202443
6375665589,0.00714284,0.0152015,0.0470724,0.0196387
6376735366,0.278718,0.040989,-0.0258858,0.0235546
6377834953,0.306117,0.057912,-0.0619934,0.0293248
6378914154,0.0361538,0.0474359,-0.0245955,0.0297665
6379974839,-0.216886,0.0208425,0.0486548,0.0253338
6381055558,-0.217692,0.00553113,0.0824009,0.0209448
6382125779,0.0216483,0.0160074,0.0429013,0.0200664
6383208646,0.283553,0.0417948,-0.028904,0.0237357
6384285125,0.300476,0.057912,-0.0617785,0.0295205
6385350106,0.0272893,0.0466301,-0.0209372,0.0301517
6386435510,-0.219304,0.0200366,0.0518749,0.0255295
6387503175,-0.220916,0.00553113,0.0825259,0.0208701
6388585247,0.0264835,0.0168132,0.0407948,0.0197249
6389642598,0.291612,0.0442124,-0.0311084,0.0250066
6390722318,0.290806,0.0587179,-0.0608015,0.030062
6391799538,0.0095604,0.0458242,-0.0176511,0.0298527
6392850872,-0.238645,0.0184249,0.0546031,0.024382
6393916463,-0.217692,0.00472528,0.0825833,0.0196454
6395082821,0.0482418,0.0176191,0.0374996,0.0193937
6396069681,0.298864,0.0450184,-0.0335595,0.0248691
6397131458,0.277912,0.0587179,-0.0602871,0.0300626
6398217714,-0.00655681,0.0442124,-0.0153946,0.0291474
6399275603,-0.246703,0.0168132,0.0567924,0.0235738
6400340287,-0.208022,0.00391942,0.0819919,0.0188058
6401408156,0.0563003,0.0176191,0.0338999,0.018699
6402470100,0.304506,0.0442124,-0.0374849,0.0235165
6403552930,0.284359,0.0571062,-0.0617677,0.0288818
6404622670,-0.0049451,0.0426007,-0.0135622,0.0289457
6405707740,-0.233004,0.0160074,0.0588834,0.024296
6406772240,-0.203187,0.00472528,0.0811799,0.0203412
6407853144,0.0683883,0.0192308,0.0311111,0.0200884
6408926272,0.308535,0.0450184,-0.0393988,0.0239535
6409998344,0.264212,0.0571062,-0.0600662,0.0291765
